venue,innings,batting_team,bowling_team,total_runs
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,68
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,23
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,44
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,42
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,74
Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,60
Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,56
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,67
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,65
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,46
M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,33
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,47
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,51
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,29
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,35
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,26
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,44
Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,58
Wankhede Stadium,2,Delhi Daredevils,Rajasthan Royals,28
Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,35
Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,35
Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,42
Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,41
Newlands,1,Mumbai Indians,Chennai Super Kings,40
Newlands,2,Chennai Super Kings,Mumbai Indians,40
Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,29
Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,14
Newlands,1,Kings XI Punjab,Delhi Daredevils,67
Newlands,2,Delhi Daredevils,Kings XI Punjab,58
Newlands,1,Kolkata Knight Riders,Deccan Chargers,17
Newlands,2,Deccan Chargers,Kolkata Knight Riders,37
St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,68
St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,46
Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,46
Kingsmead,2,Kolkata Knight Riders,Kings XI Punjab,60
Newlands,1,Deccan Chargers,Royal Challengers Bangalore,62
Newlands,2,Royal Challengers Bangalore,Deccan Chargers,31
Kingsmead,1,Delhi Daredevils,Chennai Super Kings,59
Kingsmead,2,Chennai Super Kings,Delhi Daredevils,60
Newlands,1,Rajasthan Royals,Kolkata Knight Riders,50
Newlands,2,Kolkata Knight Riders,Rajasthan Royals,38
Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,49
Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,44
Kingsmead,1,Deccan Chargers,Mumbai Indians,55
Kingsmead,2,Mumbai Indians,Deccan Chargers,49
St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,44
St George's Park,2,Delhi Daredevils,Royal Challengers Bangalore,43
Newlands,1,Kings XI Punjab,Rajasthan Royals,32
Newlands,2,Rajasthan Royals,Kings XI Punjab,32
Kingsmead,1,Chennai Super Kings,Deccan Chargers,62
Kingsmead,2,Deccan Chargers,Chennai Super Kings,69
St George's Park,1,Mumbai Indians,Kolkata Knight Riders,55
St George's Park,2,Kolkata Knight Riders,Mumbai Indians,47
SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,42
SuperSport Park,2,Rajasthan Royals,Delhi Daredevils,33
Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,45
Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,46
Kingsmead,1,Kings XI Punjab,Mumbai Indians,26
Kingsmead,2,Mumbai Indians,Kings XI Punjab,23
SuperSport Park,1,Deccan Chargers,Delhi Daredevils,37
SuperSport Park,2,Delhi Daredevils,Deccan Chargers,37
SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,40
SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,38
Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,40
Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,26
Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,38
Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,35
St George's Park,1,Deccan Chargers,Rajasthan Royals,39
St George's Park,2,Rajasthan Royals,Deccan Chargers,29
New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,47
New Wanderers Stadium,2,Delhi Daredevils,Chennai Super Kings,49
St George's Park,1,Kolkata Knight Riders,Kings XI Punjab,28
St George's Park,2,Kings XI Punjab,Kolkata Knight Riders,51
New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,25
New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,51
Buffalo Park,1,Chennai Super Kings,Deccan Chargers,53
Buffalo Park,2,Deccan Chargers,Chennai Super Kings,52
Kingsmead,1,Rajasthan Royals,Kings XI Punjab,57
Kingsmead,2,Kings XI Punjab,Rajasthan Royals,29
Kingsmead,1,Kolkata Knight Riders,Delhi Daredevils,54
Kingsmead,2,Delhi Daredevils,Kolkata Knight Riders,57
SuperSport Park,1,Deccan Chargers,Mumbai Indians,37
SuperSport Park,2,Mumbai Indians,Deccan Chargers,41
SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,29
SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,31
SuperSport Park,1,Chennai Super Kings,Kings XI Punjab,57
SuperSport Park,2,Kings XI Punjab,Chennai Super Kings,52
Buffalo Park,1,Mumbai Indians,Delhi Daredevils,30
Buffalo Park,2,Delhi Daredevils,Mumbai Indians,36
De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,52
De Beers Diamond Oval,2,Kings XI Punjab,Deccan Chargers,45
De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,34
De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,37
St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,46
St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,39
New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Daredevils,33
New Wanderers Stadium,2,Delhi Daredevils,Kolkata Knight Riders,47
De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,42
De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,30
SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,38
SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,46
SuperSport Park,1,Kings XI Punjab,Mumbai Indians,51
SuperSport Park,2,Mumbai Indians,Kings XI Punjab,42
Kingsmead,1,Delhi Daredevils,Deccan Chargers,56
Kingsmead,2,Deccan Chargers,Delhi Daredevils,50
Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,52
Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,33
Kingsmead,1,Rajasthan Royals,Mumbai Indians,42
Kingsmead,2,Mumbai Indians,Rajasthan Royals,26
OUTsurance Oval,1,Delhi Daredevils,Kings XI Punjab,37
OUTsurance Oval,2,Kings XI Punjab,Delhi Daredevils,37
St George's Park,1,Mumbai Indians,Chennai Super Kings,49
St George's Park,2,Chennai Super Kings,Mumbai Indians,35
New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,31
New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,50
New Wanderers Stadium,1,Kings XI Punjab,Deccan Chargers,39
New Wanderers Stadium,2,Deccan Chargers,Kings XI Punjab,46
OUTsurance Oval,1,Delhi Daredevils,Rajasthan Royals,35
OUTsurance Oval,2,Rajasthan Royals,Delhi Daredevils,24
SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,54
SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,56
New Wanderers Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,37
New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,27
Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,46
Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,29
Kingsmead,1,Chennai Super Kings,Kings XI Punjab,50
Kingsmead,2,Kings XI Punjab,Chennai Super Kings,29
SuperSport Park,1,Mumbai Indians,Delhi Daredevils,30
SuperSport Park,2,Delhi Daredevils,Mumbai Indians,60
SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,33
SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,64
SuperSport Park,1,Delhi Daredevils,Deccan Chargers,49
SuperSport Park,2,Deccan Chargers,Delhi Daredevils,83
New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,52
New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,59
New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,31
New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,36
Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,38
Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,62
Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,69
Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,39
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,44
"Punjab Cricket Association Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,39
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,24
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,61
"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,Chennai Super Kings,57
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Deccan Chargers,34
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,47
"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,60
M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,50
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,61
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,31
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,45
Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,67
Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,56
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,31
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59
Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,52
Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,56
Barabati Stadium,1,Deccan Chargers,Kings XI Punjab,56
Barabati Stadium,2,Kings XI Punjab,Deccan Chargers,27
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,56
"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,38
Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,45
Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,55
Barabati Stadium,1,Deccan Chargers,Delhi Daredevils,47
Barabati Stadium,2,Delhi Daredevils,Deccan Chargers,48
"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,38
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,42
Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,37
Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,57
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,38
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,29
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,53
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,75
Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,51
Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,63
"Sardar Patel Stadium, Motera",1,Deccan Chargers,Rajasthan Royals,55
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Deccan Chargers,54
"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,Kings XI Punjab,50
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Kolkata Knight Riders,42
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,64
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,42
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Chennai Super Kings,58
"Sardar Patel Stadium, Motera",2,Chennai Super Kings,Rajasthan Royals,58
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,52
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,50
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,62
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,36
Brabourne Stadium,1,Kings XI Punjab,Mumbai Indians,48
Brabourne Stadium,2,Mumbai Indians,Kings XI Punjab,44
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,51
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,56
Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,52
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,39
Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,46
Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,59
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,41
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,51
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,66
"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,62
Brabourne Stadium,1,Mumbai Indians,Deccan Chargers,53
Brabourne Stadium,2,Deccan Chargers,Mumbai Indians,40
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,53
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,69
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,54
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,38
"Vidarbha Cricket Association Stadium, Jamtha",1,Rajasthan Royals,Deccan Chargers,48
"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Rajasthan Royals,52
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,42
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,46
Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,52
Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,70
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,46
M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,32
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,51
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,56
"Vidarbha Cricket Association Stadium, Jamtha",1,Chennai Super Kings,Deccan Chargers,55
"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Chennai Super Kings,37
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,60
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,48
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,45
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,39
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,47
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,33
"Vidarbha Cricket Association Stadium, Jamtha",1,Deccan Chargers,Royal Challengers Bangalore,35
"Vidarbha Cricket Association Stadium, Jamtha",2,Royal Challengers Bangalore,Deccan Chargers,37
Brabourne Stadium,1,Mumbai Indians,Delhi Daredevils,44
Brabourne Stadium,2,Delhi Daredevils,Mumbai Indians,68
"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,22
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,67
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,30
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,39
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,33
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Deccan Chargers,43
Himachal Pradesh Cricket Association Stadium,2,Deccan Chargers,Kings XI Punjab,45
M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,34
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,34
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,46
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,42
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Chennai Super Kings,49
Himachal Pradesh Cricket Association Stadium,2,Chennai Super Kings,Kings XI Punjab,49
Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,38
Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,39
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,42
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,44
Dr DY Patil Sports Academy,1,Mumbai Indians,Royal Challengers Bangalore,54
Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Mumbai Indians,44
Dr DY Patil Sports Academy,1,Chennai Super Kings,Deccan Chargers,39
Dr DY Patil Sports Academy,2,Deccan Chargers,Chennai Super Kings,23
Dr DY Patil Sports Academy,1,Deccan Chargers,Royal Challengers Bangalore,27
Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Deccan Chargers,32
Dr DY Patil Sports Academy,1,Chennai Super Kings,Mumbai Indians,39
Dr DY Patil Sports Academy,2,Mumbai Indians,Chennai Super Kings,32
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,45
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,51
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,44
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,31
Nehru Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,60
Nehru Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,48
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,38
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,31
Dr DY Patil Sports Academy,1,Kings XI Punjab,Pune Warriors,36
Dr DY Patil Sports Academy,2,Pune Warriors,Kings XI Punjab,44
Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,46
Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,30
Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,30
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,57
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,24
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,40
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,31
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,65
Dr DY Patil Sports Academy,1,Kochi Tuskers Kerala,Pune Warriors,37
Dr DY Patil Sports Academy,2,Pune Warriors,Kochi Tuskers Kerala,44
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,41
